patent_id,title,abstract,year,patent_number,status
P001,Quantum AI Vision,This patent describes Quantum AI Vision.,2021,US100001,Granted
P002,Secure Quantum Autonomous,This patent describes Secure Quantum Autonomous.,2024,US100002,Granted
P003,AI Autonomous Medical,This patent describes AI Autonomous Medical.,2021,US100003,Granted
P004,System Medical Control,This patent describes System Medical Control.,2021,US100004,Pending
P005,Vision AI Predictive,This patent describes Vision AI Predictive.,2024,US100005,Pending
P006,Vision Secure Medical,This patent describes Vision Secure Medical.,2023,US100006,Granted
P007,Autonomous Monitoring Quantum,This patent describes Autonomous Monitoring Quantum.,2023,US100007,Pending
P008,Vision Smart Optimization,This patent describes Vision Smart Optimization.,2019,US100008,Pending
P009,Autonomous Learning Detection,This patent describes Autonomous Learning Detection.,2021,US100009,Granted
P010,Smart Cloud Learning,This patent describes Smart Cloud Learning.,2019,US100010,Granted
P011,Quantum Monitoring Vision,This patent describes Quantum Monitoring Vision.,2025,US100011,Pending
P012,Predictive Detection Framework,This patent describes Predictive Detection Framework.,2021,US100012,Pending
P013,Autonomous Predictive Cloud,This patent describes Autonomous Predictive Cloud.,2020,US100013,Pending
P014,Monitoring Vision Cloud,This patent describes Monitoring Vision Cloud.,2023,US100014,Granted
P015,Cloud Smart Analysis,This patent describes Cloud Smart Analysis.,2024,US100015,Pending
P016,Autonomous Medical Analysis,This patent describes Autonomous Medical Analysis.,2021,US100016,Pending
P017,Monitoring Optimization Secure,This patent describes Monitoring Optimization Secure.,2022,US100017,Granted
P018,Cloud Vision Control,This patent describes Cloud Vision Control.,2024,US100018,Pending
P019,Cloud Secure Platform,This patent describes Cloud Secure Platform.,2019,US100019,Granted
P020,Quantum Secure Predictive,This patent describes Quantum Secure Predictive.,2024,US100020,Granted
P021,Monitoring System Optimization,This patent describes Monitoring System Optimization.,2022,US100021,Granted
P022,Quantum Vision Analysis,This patent describes Quantum Vision Analysis.,2019,US100022,Pending
P023,Control Predictive Optimization,This patent describes Control Predictive Optimization.,2018,US100023,Pending
P024,Framework Predictive Quantum,This patent describes Framework Predictive Quantum.,2022,US100024,Granted
P025,Secure Detection Predictive,This patent describes Secure Detection Predictive.,2018,US100025,Pending
P026,Platform AI Quantum,This patent describes Platform AI Quantum.,2023,US100026,Pending
P027,Cloud Smart System,This patent describes Cloud Smart System.,2019,US100027,Granted
P028,Platform Autonomous Secure,This patent describes Platform Autonomous Secure.,2020,US100028,Pending
P029,System Predictive Vision,This patent describes System Predictive Vision.,2024,US100029,Granted
P030,System Medical Learning,This patent describes System Medical Learning.,2024,US100030,Pending
P031,Optimization Framework System,This patent describes Optimization Framework System.,2019,US100031,Granted
P032,Cloud Autonomous Analysis,This patent describes Cloud Autonomous Analysis.,2018,US100032,Granted
P033,Cloud AI Autonomous,This patent describes Cloud AI Autonomous.,2018,US100033,Granted
P034,Autonomous Smart Analysis,This patent describes Autonomous Smart Analysis.,2019,US100034,Granted
P035,Vision Platform Medical,This patent describes Vision Platform Medical.,2020,US100035,Pending
P036,Cloud Platform Control,This patent describes Cloud Platform Control.,2021,US100036,Granted
P037,Quantum Control Detection,This patent describes Quantum Control Detection.,2024,US100037,Pending
P038,Optimization Smart Quantum,This patent describes Optimization Smart Quantum.,2018,US100038,Pending
P039,Analysis Quantum Cloud,This patent describes Analysis Quantum Cloud.,2021,US100039,Granted
P040,System Optimization Secure,This patent describes System Optimization Secure.,2024,US100040,Granted
P041,Vision Optimization Cloud,This patent describes Vision Optimization Cloud.,2019,US100041,Pending
P042,System Quantum Smart,This patent describes System Quantum Smart.,2018,US100042,Granted
P043,Cloud Predictive Control,This patent describes Cloud Predictive Control.,2025,US100043,Pending
P044,Medical Monitoring Smart,This patent describes Medical Monitoring Smart.,2020,US100044,Pending
P045,AI Monitoring Vision,This patent describes AI Monitoring Vision.,2025,US100045,Pending
P046,Control Platform Secure,This patent describes Control Platform Secure.,2021,US100046,Pending
P047,Medical Smart Framework,This patent describes Medical Smart Framework.,2023,US100047,Granted
P048,Smart Platform Predictive,This patent describes Smart Platform Predictive.,2018,US100048,Granted
P049,Predictive Autonomous Framework,This patent describes Predictive Autonomous Framework.,2021,US100049,Pending
P050,Quantum Cloud Smart,This patent describes Quantum Cloud Smart.,2019,US100050,Pending
P051,Framework Analysis Vision,This patent describes Framework Analysis Vision.,2021,US100051,Pending
P052,Cloud Vision Monitoring,This patent describes Cloud Vision Monitoring.,2020,US100052,Pending
P053,Optimization Analysis Autonomous,This patent describes Optimization Analysis Autonomous.,2018,US100053,Pending
P054,Quantum Autonomous Medical,This patent describes Quantum Autonomous Medical.,2022,US100054,Granted
P055,Detection Autonomous Cloud,This patent describes Detection Autonomous Cloud.,2023,US100055,Pending
P056,Predictive Optimization Learning,This patent describes Predictive Optimization Learning.,2018,US100056,Pending
P057,Quantum Secure Vision,This patent describes Quantum Secure Vision.,2019,US100057,Granted
P058,System Secure Vision,This patent describes System Secure Vision.,2022,US100058,Granted
P059,Analysis Medical Vision,This patent describes Analysis Medical Vision.,2025,US100059,Pending
P060,Smart Autonomous Control,This patent describes Smart Autonomous Control.,2022,US100060,Granted
P061,AI Analysis Secure,This patent describes AI Analysis Secure.,2022,US100061,Granted
P062,Optimization Control AI,This patent describes Optimization Control AI.,2019,US100062,Granted
P063,Secure Smart Detection,This patent describes Secure Smart Detection.,2020,US100063,Pending
P064,Secure Smart Learning,This patent describes Secure Smart Learning.,2023,US100064,Granted
P065,Detection Medical Cloud,This patent describes Detection Medical Cloud.,2019,US100065,Pending
P066,System Control Secure,This patent describes System Control Secure.,2021,US100066,Granted
P067,Predictive Control AI,This patent describes Predictive Control AI.,2020,US100067,Pending
P068,Control Cloud Vision,This patent describes Control Cloud Vision.,2020,US100068,Granted
P069,Monitoring Smart Platform,This patent describes Monitoring Smart Platform.,2021,US100069,Granted
P070,Optimization Detection Learning,This patent describes Optimization Detection Learning.,2021,US100070,Granted
P071,AI Medical Monitoring,This patent describes AI Medical Monitoring.,2023,US100071,Pending
P072,Autonomous Vision Detection,This patent describes Autonomous Vision Detection.,2024,US100072,Pending
P073,AI Quantum Vision,This patent describes AI Quantum Vision.,2020,US100073,Pending
P074,Smart Quantum Control,This patent describes Smart Quantum Control.,2023,US100074,Pending
P075,Control Framework Quantum,This patent describes Control Framework Quantum.,2024,US100075,Granted
P076,Vision Smart Control,This patent describes Vision Smart Control.,2018,US100076,Granted
P077,Detection Control Autonomous,This patent describes Detection Control Autonomous.,2023,US100077,Pending
P078,Quantum Learning Framework,This patent describes Quantum Learning Framework.,2024,US100078,Pending
P079,Monitoring Learning Secure,This patent describes Monitoring Learning Secure.,2021,US100079,Pending
P080,Monitoring Predictive Learning,This patent describes Monitoring Predictive Learning.,2024,US100080,Granted
P081,Learning System Medical,This patent describes Learning System Medical.,2024,US100081,Pending
P082,Optimization System Framework,This patent describes Optimization System Framework.,2021,US100082,Pending
P083,Predictive Autonomous Learning,This patent describes Predictive Autonomous Learning.,2023,US100083,Granted
P084,Cloud Learning System,This patent describes Cloud Learning System.,2021,US100084,Granted
P085,AI Smart Cloud,This patent describes AI Smart Cloud.,2025,US100085,Granted
P086,Optimization Control Medical,This patent describes Optimization Control Medical.,2024,US100086,Pending
P087,Monitoring Cloud Secure,This patent describes Monitoring Cloud Secure.,2018,US100087,Granted
P088,Control Cloud Predictive,This patent describes Control Cloud Predictive.,2025,US100088,Granted
